,,,,,,,,,,,,04/18/2015,"© 2015 by McGraw Hill Financial, Inc."
DSP,Trans,Symbol,Bates,Freq,Curr,UOM,DEC,Conv,*/,To_UOM,Earliest,Latest,Description
UZ,,AARZT03,chl,MA,USD,BBL,3,6,*,MT,01/01/2010,03/01/2015,"FO 3%S Residual USGC Swap BalMo MAvg"
UZ,,AAUGT00,chl,DW,USD,BBL,3,,*,,10/01/2010,04/17/2015,"FO No6 1.0%S USGC Waterborne vs FO No6 3.0%S USGC Strip"
UZ,,AAUGW03,chl,MA,USD,BBL,3,6.35,*,MT,10/01/2010,03/01/2015,"FO No6 3.0%S USGC Strip MAvg"
UZ,,AAUGU03,chl,MA,USD,BBL,3,6.4,*,MT,10/01/2010,03/01/2015,"FO No6 3.0%S USGC Waterborne vs FO No6 3.0%S USGC Strip MAvg"
UZ,,GDCBW00,chl,DW,USD,MMB,3,,*,,10/01/2012,04/17/2015,"FO No6 3.0%S USGC Waterborne $/MMBtu"
UZ,,PUBDM00,chl,DW,USD,BBL,3,,*,,01/05/1998,04/17/2015,"FO RMG 380 USGC Waterbone"
UZ,,AAUGT03,chl,MA,USD,BBL,3,6.2,*,MT,10/01/2010,03/01/2015,"FO No6 1.0%S USGC Waterborne vs FO No6 3.0%S USGC Strip MAvg"
UZ,,AAUGU00,chl,DW,USD,BBL,3,6.4,*,MT,10/01/2010,04/17/2015,"FO No6 3.0%S USGC Waterborne vs FO No6 3.0%S USGC Strip"
UZ,,PPAPW00,chl,DW,USD,BBL,3,6.2,*,MT,01/03/1994,04/17/2015,"FO No6 Slurry Oil USGC Waterborne"
UZ,,PUAAI00,chl,DW,USD,BBL,3,6.11,*,MT,04/02/1979,04/17/2015,"FO No6 1.0%S USGC Waterborne"
UZ,,AAUGV00,chl,DW,USD,BBL,3,6.4,*,MT,10/01/2010,04/17/2015,"FO RMG 380 USGC Waterbone vs FO No6 3.0%S USGC Strip"
UZ,,PUAFZ00,chl,DW,USD,BBL,3,6.4,*,MT,04/02/1979,04/17/2015,"FO No6 3.0%S USGC Waterborne"
UZ,,AAUGS00,chl,DW,USD,BBL,3,6.2,*,MT,10/01/2010,04/17/2015,"FO No6 Slurry Oil USGC Waterborne vs FO No6 3.0%S USGC Strip"
UZ,,AAUGS03,chl,MA,USD,BBL,3,6.2,*,MT,10/01/2010,03/01/2015,"FO No6 Slurry Oil USGC Waterborne vs FO No6 3.0%S USGC Strip MAvg"
UZ,,AAUGV03,chl,MA,USD,BBL,3,6.4,*,MT,10/01/2010,03/01/2015,"FO RMG 380 USGC Waterbone vs FO No6 3.0%S USGC Strip MAvg"
UZ,,AAUGW00,chl,DW,USD,BBL,3,6.35,*,MT,10/01/2010,04/17/2015,"FO No6 3.0%S USGC Strip"
